epoch,train_loss,val_loss,val_acc,activation,init,bound,act_mean,act_std,frac_zero,grad_norm
24,37.67740321,2.582964784,0.0963,relu,naive_uniform,1,152.823021,1179.75833,0.775282568,0.004417706
25,33.86769683,2.435025691,0.0963,relu,naive_uniform,1,156.0277225,1207.917515,0.775514152,0.004399069
26,24.02029418,2.359292816,0.0963,relu,naive_uniform,1,159.7720155,1239.446618,0.775392082,0.00440527
28,16.11515751,2.302739537,0.0963,relu,naive_uniform,1,168.0343477,1307.698431,0.774409639,0.004391886
31,8.882277039,2.302782851,0.0963,relu,naive_uniform,1,174.9494389,1365.537499,0.774783664,0.004400807
35,3.322465374,2.302746613,0.0963,relu,naive_uniform,1,185.5126458,1455.954935,0.774450991,0.004385722
41,4.525807751,2.302761559,0.0963,relu,naive_uniform,1,207.221631,1632.432565,0.773138603,0.004386614
42,3.776211036,2.302742599,0.0963,relu,naive_uniform,1,208.63579,1640.866838,0.773174736,0.004399605
43,2.938572542,2.302751085,0.0963,relu,naive_uniform,1,231.7320082,1829.619363,0.772088051,0.004415503
44,3.012366309,2.302786786,0.0963,relu,naive_uniform,1,245.0707547,1937.394069,0.77122381,0.004401879
49,2.822580551,2.302786811,0.0963,relu,naive_uniform,1,223.6401573,1745.495085,0.773012002,0.004401404
50,2.492457297,2.302767785,0.0963,relu,naive_uniform,1,219.9627659,1716.658548,0.77311892,0.004393639
4,2.30267382,2.302754631,0.0963,relu,naive_uniform,0.005,4.58E-05,0.000201448,0.628745556,0.004386197
12,2.302675311,2.302739299,0.0963,relu,naive_uniform,0.005,3.06E-09,3.45E-08,0.70581905,0.004379438
13,2.302727135,2.302756222,0.0963,relu,naive_uniform,0.005,3.48E-05,0.000392145,0.687301079,0.004397768
16,2.302676538,2.302821982,0.0963,relu,naive_uniform,0.005,4.43E-13,4.99E-12,0.712004397,0.00442037
17,2.302682084,2.302751571,0.0963,relu,naive_uniform,0.005,9.75E-09,1.10E-07,0.721264468,0.004380416
18,2.302702023,2.303063375,0.0963,relu,naive_uniform,0.005,3.97E-05,0.000447278,0.720697668,0.008652984
20,2.302682333,2.302788293,0.0963,relu,naive_uniform,0.005,1.51E-29,0,0.702298403,0.004400568
22,2.302678542,2.302714295,0.0963,relu,naive_uniform,0.005,1.52E-27,0,0.692487107,0.00437261
23,2.30268671,2.30277606,0.0963,relu,naive_uniform,0.005,1.25E-37,0,0.705190844,0.004409948
24,2.302678588,2.302784827,0.0963,relu,naive_uniform,0.005,1.97E-31,0,0.710168415,0.004358662
27,2.302663077,2.302736272,0.0963,relu,naive_uniform,0.005,8.85E-39,0,0.673826032,0.00439135
29,2.302680624,2.302758285,0.0963,relu,naive_uniform,0.005,2.54E-18,2.86E-17,0.698359463,0.004400387
31,2.302715844,2.302786461,0.0963,relu,naive_uniform,0.005,1.07E-32,0,0.64128436,0.004395712
33,2.302693737,2.302828197,0.0963,relu,naive_uniform,0.005,1.55E-17,1.74E-16,0.626707951,0.004398932
34,2.30271037,2.302740683,0.0963,relu,naive_uniform,0.005,1.27E-25,0,0.628107415,0.004394402
40,2.302692656,2.302865603,0.0963,relu,naive_uniform,0.005,1.78E-05,0.000200049,0.644830757,0.007921023
44,2.302698547,2.302733422,0.0963,relu,naive_uniform,0.005,6.25E-07,6.36E-06,0.680626233,0.00437872
45,2.302679528,2.302759183,0.0963,relu,naive_uniform,0.005,4.13E-12,3.28E-11,0.681407743,0.004382179
47,2.302702143,2.302771677,0.0963,relu,naive_uniform,0.005,4.07E-07,4.59E-06,0.70364719,0.004381095
50,2.302681596,2.302804424,0.0963,relu,naive_uniform,0.005,4.52E-41,0,0.689063364,0.004393093
23,49.42356073,3.473678988,0.0967,relu,naive_uniform,1,149.6242925,1153.133948,0.775415235,0.004381684
27,17.82028388,2.302724618,0.0967,relu,naive_uniform,1,164.8232234,1280.453218,0.775110377,0.004395719
29,15.74125268,2.30275484,0.0967,relu,naive_uniform,1,169.737105,1322.088047,0.774986373,0.004378514
30,12.88099724,2.30274525,0.0967,relu,naive_uniform,1,174.2811356,1360.419849,0.774770207,0.004404984
38,3.226023667,2.302768829,0.0967,relu,naive_uniform,1,190.9838022,1502.732924,0.773362345,0.004416279
39,3.798247818,2.302758578,0.0967,relu,naive_uniform,1,198.1052435,1559.500546,0.773585982,0.004396887
45,2.503395522,2.302737975,0.0967,relu,naive_uniform,1,257.2169695,2029.236331,0.770782603,0.004399726
2,2.302670259,2.302757829,0.0967,relu,naive_uniform,0.005,0.000102985,0.000392595,0.664501243,0.004407876
3,2.302676906,2.302727247,0.0967,relu,naive_uniform,0.005,6.44E-05,0.000254725,0.614516656,0.004395169
7,2.302676852,2.302758149,0.0967,relu,naive_uniform,0.005,1.32E-05,8.02E-05,0.619974852,0.004404983
8,2.302698709,2.302729066,0.0967,relu,naive_uniform,0.005,1.86E-08,1.94E-07,0.661686129,0.00438122
10,2.302674631,2.302695893,0.0967,relu,naive_uniform,0.005,7.35E-09,8.23E-08,0.67104737,0.004372084
