epoch,train_loss,val_loss,val_acc,activation,init,act_mean,act_std,frac_zero,grad_norm
1,1.673386567,1.305458299,0.5295,relu,he,0.106093865,0.216291421,0.652754413,0.832220077
2,1.188559466,1.05700719,0.6277,relu,he,0.09674589,0.205405103,0.670819786,0.666930545
3,0.975622545,0.906190822,0.6741,relu,he,0.093012816,0.203686125,0.67827389,0.832219157
4,0.826419065,0.77664457,0.7255,relu,he,0.096205642,0.217954532,0.685170783,0.633582257
5,0.717307026,0.733378272,0.7389,relu,he,0.093450699,0.216424545,0.693974945,0.676597926
6,0.635299426,0.697016995,0.7555,relu,he,0.092996406,0.225245831,0.705330266,0.507155979
7,0.563139946,0.691993136,0.7609,relu,he,0.098420424,0.242497486,0.707094722,0.665477624
8,0.501140033,0.671368619,0.7654,relu,he,0.097909134,0.248867613,0.71652174,0.449540394
18,0.207147785,0.885191631,0.7665,relu,he,0.109918962,0.324729148,0.751072566,0.963708695
15,0.260409913,0.772769752,0.7737,relu,he,0.110217235,0.315875861,0.741676304,0.924400224
20,0.180198702,0.852312506,0.7741,relu,he,0.111333805,0.329366202,0.754570193,1.027134499
14,0.269998064,0.701356275,0.7755,relu,he,0.106075495,0.297769197,0.7399985,0.656834771
35,0.127308376,0.958394509,0.7788,relu,he,0.098158901,0.316603877,0.784839392,1.092370758
10,0.402847227,0.667205026,0.78,relu,he,0.105784613,0.277102722,0.721176942,0.622395582
28,0.147246692,0.905081512,0.7802,relu,he,0.108370717,0.340193775,0.770531628,0.933965165
9,0.446886837,0.65258432,0.7806,relu,he,0.102577923,0.264565885,0.717871613,0.529484329
17,0.216068517,0.825242957,0.7811,relu,he,0.112901523,0.326918355,0.745082908,0.944910158
44,0.120651962,0.911228343,0.7823,relu,he,0.086822323,0.290528638,0.798565441,1.023744804
25,0.1491205,0.86692967,0.7827,relu,he,0.110580673,0.342030166,0.765070518,0.918740052
33,0.13049024,0.985316549,0.7832,relu,he,0.103433134,0.333037885,0.780783945,1.257357253
41,0.113352151,0.993500261,0.7834,relu,he,0.096834026,0.321935501,0.789800723,1.057590226
30,0.141754513,0.88622746,0.7852,relu,he,0.097623654,0.307184335,0.773063607,0.8979415
42,0.120087987,0.958465122,0.7859,relu,he,0.092910048,0.310214049,0.79482619,0.986025232
50,0.115238021,0.943390636,0.7859,relu,he,0.08399352,0.283125476,0.801158137,1.028065025
21,0.180414882,0.824509701,0.786,relu,he,0.113809794,0.344384053,0.757929828,0.77970586
11,0.368989222,0.661343316,0.7861,relu,he,0.103461842,0.278463667,0.728314029,0.69172146
13,0.306970865,0.694122164,0.7863,relu,he,0.111945805,0.309325683,0.732668638,0.65750095
40,0.123461023,0.915431491,0.787,relu,he,0.092622275,0.307848831,0.793593936,0.922576951
46,0.118656031,1.004027268,0.787,relu,he,0.093306084,0.309880366,0.794052362,1.07265992
22,0.182058567,0.829948669,0.7872,relu,he,0.108335743,0.330375675,0.762578938,0.970286975
45,0.105794333,0.986099011,0.7874,relu,he,0.09144124,0.306455733,0.7961514,1.080368502
48,0.114280429,0.9464482,0.7877,relu,he,0.090640898,0.304161689,0.795676867,0.973130963
29,0.142657902,0.871629978,0.7879,relu,he,0.104421462,0.331727828,0.772791915,0.994789221
31,0.132999216,0.941364842,0.788,relu,he,0.103543984,0.332884053,0.779313829,1.097214261
34,0.131974555,0.923253569,0.788,relu,he,0.103579408,0.333885877,0.780206521,0.885714548
24,0.15312614,0.866841241,0.7885,relu,he,0.111018221,0.343871878,0.764383872,0.946791936
37,0.116999713,1.015565381,0.7888,relu,he,0.098603913,0.320226834,0.783040232,1.123530549
47,0.103567793,0.994089786,0.7888,relu,he,0.095158758,0.316991282,0.793546544,1.248683184
12,0.326460027,0.650065488,0.789,relu,he,0.106936197,0.29392182,0.730871889,0.608274315
32,0.132443242,0.923344249,0.789,relu,he,0.101165699,0.322253106,0.779467848,0.929922066
39,0.11211593,0.961598025,0.789,relu,he,0.098469887,0.324513589,0.788735761,0.957143087
23,0.171928701,0.867463399,0.7902,relu,he,0.11132468,0.343133814,0.762199322,0.877640358
16,0.231227983,0.734804891,0.7907,relu,he,0.113045514,0.327240992,0.744272947,0.714518858
49,0.104350672,1.002925343,0.7909,relu,he,0.095341318,0.319344996,0.798913823,1.017299275
26,0.148839268,0.865285168,0.7912,relu,he,0.111487855,0.346590754,0.767077367,0.921513761
38,0.121672513,0.965140917,0.7913,relu,he,0.096415884,0.315189331,0.788886468,0.932967265
19,0.19356209,0.801160309,0.7915,relu,he,0.114321333,0.342973775,0.753729661,0.950238481
36,0.123432561,0.90513779,0.7917,relu,he,0.098663444,0.319462222,0.783177535,0.933393932
27,0.134065504,0.904535247,0.7933,relu,he,0.115128077,0.359508221,0.765331692,1.067293095
43,0.111228725,0.984476725,0.795,relu,he,0.097384809,0.32215413,0.792329735,0.98654196
1,2.304569085,1.824130707,0.3591,tanh,xavier,0.003209761,0.673185315,0,0.684935758
2,1.770649452,1.392035978,0.498,tanh,xavier,-0.0212543,0.638942462,0,0.583844097
3,1.480681744,1.267831133,0.5491,tanh,xavier,-0.04270195,0.638139667,0,0.884613013
5,1.115388845,1.132144329,0.607,tanh,xavier,-0.062123425,0.634338809,0,1.349607454
4,1.276865501,1.092572647,0.6186,tanh,xavier,-0.048573239,0.63259949,0,0.708983731
7,0.921735654,0.990284616,0.6614,tanh,xavier,-0.076490571,0.64061639,0,0.876154979
6,1.01409628,0.963337128,0.6633,tanh,xavier,-0.069557502,0.636678767,0,0.630442323
8,0.844387483,0.878555995,0.694,tanh,xavier,-0.087302928,0.644895901,2.65E-08,0.622442327
9,0.784066617,0.846637805,0.7078,tanh,xavier,-0.089883898,0.648573857,2.65E-08,0.632929262
11,0.692041099,0.841497886,0.7145,tanh,xavier,-0.097015004,0.655481863,0,0.843258987
10,0.730550757,0.837285859,0.7154,tanh,xavier,-0.085211515,0.654209385,2.65E-08,0.670227189
16,0.542640549,0.863554897,0.7197,tanh,xavier,-0.110824094,0.672194824,0,0.827683345
