epoch,train_loss,val_loss,val_acc,activation,init,bound,act_mean,act_std,frac_zero,grad_norm
1,159962715.8592,10741257.68,0.1698,relu,naive_uniform,1.0,20062.68132094211,44550.01649835375,0.6752296288808187,7614472.870621599
2,9111345.1256,2737167.9712,0.1652,relu,naive_uniform,1.0,3999.7619090163043,11011.181577463945,0.7112225691477457,1992181.325125459
3,2515926.7956,876893.6286,0.1539,relu,naive_uniform,1.0,970.2550439532432,3933.667662349012,0.7391769356197782,817773.1964215975
4,844000.7327,328821.384,0.1461,relu,naive_uniform,1.0,346.65779630674257,1917.318005412817,0.7559009657965766,345666.6810547225
5,320782.88665,134892.4586375,0.1272,relu,naive_uniform,1.0,200.49987083114684,1274.1174958613183,0.7644753721025255,152364.89736117347
6,129756.5297125,50463.8137625,0.1093,relu,naive_uniform,1.0,161.01093419962046,1075.5532583428753,0.7700463400946723,41739.50985643417
7,43664.85423125,8717.433375,0.1039,relu,naive_uniform,1.0,195.65637897203365,1329.0252124104236,0.7718699508243136,15320.346260319278
8,8761.204681640625,1071.6509192871094,0.0995,relu,naive_uniform,1.0,275.6771850693557,1917.0795789460342,0.7719148000081381,9325.307337751798
9,2347.713896972656,309.7164219970703,0.1,relu,naive_uniform,1.0,340.3040807839069,2392.823838836617,0.7726499504513211,2568.603709788341
10,992.5327141448975,150.01208728637695,0.0994,relu,naive_uniform,1.0,386.346852957685,2736.807313064734,0.7734017107221816,1100.4040399827295
11,539.2208006500244,83.01975514602661,0.1022,relu,naive_uniform,1.0,432.51791850477457,3077.543377518654,0.7741768095228407,0.004928195104002953
12,336.76493262939454,51.64957758026123,0.0973,relu,naive_uniform,1.0,463.4732137504551,3307.988390624523,0.7746194998423258,0.004656309261918068
13,243.8983125114441,37.089533979797366,0.0972,relu,naive_uniform,1.0,477.3788522299793,3415.4690025978616,0.7748100757598877,0.004533205926418304
14,205.32500195617675,27.391180968475343,0.0973,relu,naive_uniform,1.0,490.0144558631712,3512.1683407293426,0.774986743927002,0.004467068240046501
15,146.00460995407104,20.334659578704834,0.0973,relu,naive_uniform,1.0,507.0694085194005,3638.140014688174,0.7751043372684054,0.004458533972501755
16,102.67118833007812,15.829019535827637,0.0973,relu,naive_uniform,1.0,525.6337130251858,3777.6039585206245,0.7753018273247613,0.004436773434281349
17,99.22780853614807,12.181268559646606,0.0974,relu,naive_uniform,1.0,531.611912832492,3831.0125778714814,0.7753592597113715,0.004418708011507988
18,82.70974806022645,10.294221855926514,0.0962,relu,naive_uniform,1.0,547.4167767084307,3952.6256122456657,0.7755350271860758,0.004378893226385116
19,56.43706171340942,8.428599613189697,0.0975,relu,naive_uniform,1.0,568.1166374848949,4108.081374969747,0.7756910059187148,0.0043973907828331
20,59.11921054153442,7.585513900375366,0.0975,relu,naive_uniform,1.0,586.84147459103,4247.479062570466,0.7758307456970215,0.004429665207862854
21,32.74315744628906,5.478378823089599,0.0968,relu,naive_uniform,1.0,595.9414941221476,4320.312632103761,0.7758671177758111,0.004381898790597916
22,37.258925074768065,5.268667012405396,0.0974,relu,naive_uniform,1.0,604.5659914670719,4392.0233830544685,0.7760296132829454,0.0043842121958732605
23,26.896692294311524,4.976504008483887,0.0968,relu,naive_uniform,1.0,611.2718991206752,4446.440935591857,0.776085721121894,0.004383517056703567
